abricot
ananas
avocat
banane
cerise
citron
clémentine
datte
figue
fraise
framboise
grenade
groseille
kiwi
litchi
mandarine
mangue
melon
mirabelle
mûre
myrtille
nectarine
noisette
noix
orange
pamplemousse
papaye
pastèque
pêche
poire
pomme
prune
raisin
tomate
abricotier
amande
amandier
ananas
arbre
avocatier
bananier
basilic
betterave
bleuet
brocoli
cactus
cassis
cerisier
châtaigne
châtaignier
chou
citronnier
clémentinier
cocotier
courge
courgette
cresson
datte
dattier
endive
estragon
fenouil
figuier
fraisier
framboisier
grenadier
groseillier
haricot
kiwi
laitue
légume
lentille
lierre
litchi
mandarinier
mangue
manguier
melon
menthe
mûrier
myrtille
nectarine
noisette
noisetier
noix
noyer
olivier
orange
oranger
pamplemousse
pamplemoussier
papaye
pêcher
pistache
pistachier
poire
poirier
pomme
pommier
prune
prunier
raisin
raisins
tomate
tomates
romarin
salade
sauge
thym
topinambour
trèfle
tulipe
valériane
verveine
vigne
